iso,dipole,hw_dipole,tr38901
-63.424698,-62.195297,-62.034523,-85.4247
-63.326035,-62.07216,-61.90117,-85.326035
-62.57763,-61.16896,-60.932022,-84.57763
-62.450043,-61.020676,-60.774765,-84.45004
-62.926453,-61.581352,-61.371765,-84.92645
-63.25553,-61.98123,-61.80165,-85.25552
-63.325233,-62.069,-61.89701,-85.32523
-63.51277,-62.304726,-62.152824,-85.51277
-63.788254,-62.66021,-62.54119,-85.78826
-63.843353,-62.733757,-62.62224,-85.84335
-63.89125,-62.797386,-62.692245,-85.89125
-63.88874,-62.794296,-62.68892,-85.88874
-63.870323,-62.767784,-62.65912,-85.87032
-63.849785,-62.740486,-62.629097,-85.84978
-63.77674,-62.645737,-62.52552,-85.77674
-63.76793,-62.634468,-62.513237,-85.76793
-63.72368,-62.576935,-62.45027,-85.72368
-63.521187,-62.314995,-62.163857,-85.52118
-63.261024,-61.988083,-61.809082,-85.26102
-62.99881,-61.66825,-61.46486,-84.99881
-62.3069,-60.8528,-60.596092,-84.3069
-62.326797,-60.875748,-60.620377,-84.32679
-62.40551,-60.966713,-60.71669,-84.40552
-62.670296,-61.27469,-61.043404,-84.670296
-62.97805,-61.642113,-61.436424,-84.97804
-63.271523,-62.000114,-61.821747,-85.27152
-63.356667,-62.106033,-61.936386,-85.35667
-63.648834,-62.47644,-62.339264,-85.648834
-63.66902,-62.503822,-62.3696,-85.66902
-63.703613,-62.547447,-62.416924,-85.70362
-63.723557,-62.573936,-62.446106,-85.72356
-63.807816,-62.68489,-62.567963,-85.80781
-63.832657,-62.71756,-62.603806,-85.83266
-63.88922,-62.792694,-62.686478,-85.88921
-63.89451,-62.799294,-62.693604,-85.89451
-63.894035,-62.798798,-62.6931,-85.89403
-63.890762,-62.793472,-62.68695,-85.89076
-63.878906,-62.777756,-62.66967,-85.878914
-63.829155,-62.711655,-62.59693,-85.829155
-63.660934,-62.49317,-62.35788,-85.66094
-63.63379,-62.456192,-62.316856,-85.63378
-63.168633,-61.8739,-61.685715,-85.168625
-62.861526,-61.501198,-61.285095,-84.86153
-62.3946,-60.953682,-60.70273,-84.3946
-63.20096,-61.911087,-61.724937,-85.20096
-63.30336,-62.037674,-61.861725,-85.30336
-63.403427,-62.16111,-61.99494,-85.40343
-63.59336,-62.403404,-62.25898,-85.59335
-63.663452,-62.493324,-62.35707,-85.66345
-63.69809,-62.53724,-62.4048,-85.69809
-63.821915,-62.700615,-62.584343,-85.821915
