path_id,delay_s,distance_m,real_coeff,imag_coeff,magnitude,phase_rad,channel_gain_db,rss_power_w,rss_power_dbm
69,7.3289635e-07,219.86891,1.711318e-07,0.0,1.711318e-07,0.0,-135.33339,2.928609532989047e-16,-125.33338928222656
70,5.106758e-07,153.20274,2.3172244e-09,0.0,2.3172244e-09,0.0,-172.70064,5.369534055815155e-20,-162.7006378173828
71,5.1162135e-07,153.4864,3.54076e-09,0.0,3.54076e-09,0.0,-169.01808,1.253695874394624e-19,-159.01808166503906
72,5.9648556e-07,178.94566,-1.3464858e-08,0.0,1.3464858e-08,3.1415927,-157.41595,1.813025013146536e-18,-147.41595458984375
73,5.4597086e-07,163.79126,4.4933707e-10,0.0,4.4933707e-10,0.0,-186.94855,2.019041650387887e-21,-176.94854736328125
74,4.935718e-07,148.07155,-2.2526196e-08,0.0,2.2526196e-08,3.1415927,-152.94624,5.074294386363164e-18,-142.9462432861328
75,8.7340254e-07,262.02075,8.890452e-08,0.0,8.890452e-08,0.0,-141.02151,7.904021772854499e-17,-131.02151489257812
76,5.4422304e-07,163.2669,3.290747e-10,0.0,3.290747e-10,0.0,-189.6541,1.0829035191186354e-21,-179.6540985107422
77,5.551547e-07,166.54642,2.720624e-09,0.0,2.720624e-09,0.0,-171.30663,7.401795651822902e-20,-161.30662536621094
78,8.669299e-07,260.07898,5.531301e-07,0.0,5.531301e-07,0.0,-125.14345,3.0595308628440527e-15,-115.14344787597656
79,5.195919e-07,155.87756,-4.1174406e-09,0.0,4.1174406e-09,3.1415927,-167.70746,1.6953281204245683e-19,-157.70745849609375
80,5.18663e-07,155.5989,-8.055878e-08,0.0,8.055878e-08,3.1415927,-141.87775,6.489711008489293e-17,-131.87774658203125
81,7.326691e-07,219.80074,-1.9883261e-07,0.0,1.9883261e-07,3.1415927,-134.03024,3.9534415780147214e-16,-124.03024291992188
82,5.636742e-07,169.10225,1.056923e-09,0.0,1.056923e-09,0.0,-179.51913,1.117084879812346e-20,-169.51913452148438
83,5.457531e-07,163.72592,8.654419e-09,0.0,8.654419e-09,0.0,-161.25525,7.489890904047682e-19,-151.2552490234375
84,5.4553664e-07,163.661,-8.322994e-09,0.0,8.322994e-09,3.1415927,-161.5944,6.92722042091015e-19,-151.5944061279297
85,5.4579965e-07,163.7399,-2.1705278e-09,0.0,2.1705278e-09,3.1415927,-173.2687,4.711183591223614e-20,-163.26870727539062
86,5.1773515e-07,155.32054,4.328899e-07,0.0,4.328899e-07,0.0,-127.27245,1.87393143503392e-15,-117.27245330810547
87,5.6252526e-07,168.75758,8.752697e-08,0.0,8.752697e-08,0.0,-141.15717,7.660957727705997e-17,-131.15716552734375
88,6.126034e-07,183.78102,1.8186544e-09,0.0,1.8186544e-09,0.0,-174.805,3.307506559335143e-20,-164.80499267578125
89,4.929553e-07,147.88658,3.0106612e-08,0.0,3.0106612e-08,0.0,-150.42676,9.064106186013168e-18,-140.4267578125
90,4.4792904e-07,134.37871,2.739018e-07,0.0,2.739018e-07,0.0,-131.24811,7.502203106962452e-16,-121.24810791015625
91,5.5513476e-07,166.54044,1.1698396e-08,0.0,1.1698396e-08,0.0,-158.63748,1.3685208994273842e-18,-148.63748168945312
92,5.9305864e-07,177.91759,3.930645e-10,0.0,3.930645e-10,0.0,-188.11073,1.5449936501804101e-21,-178.11073303222656
93,5.209207e-07,156.27621,-1.1861021e-08,0.0,1.1861021e-08,3.1415927,-158.51756,1.406834354437192e-18,-148.51756286621094
94,5.445115e-07,163.35345,2.3103361e-09,0.0,2.3103361e-09,0.0,-172.7265,5.337651736197491e-20,-162.72650146484375
95,5.024139e-07,150.72417,7.081931e-09,0.0,7.081931e-09,0.0,-162.99696,5.015382169546831e-19,-152.99696350097656
96,7.6050696e-07,228.15208,-1.6486593e-09,0.0,1.6486593e-09,3.1415927,-175.65738,2.718074133818621e-20,-165.65737915039062
97,8.932227e-07,267.9668,-1.5542046e-08,0.0,1.5542046e-08,3.1415927,-156.16983,2.415553090702359e-18,-146.16983032226562
98,1.211658e-06,363.49738,7.4504563e-09,0.0,7.4504563e-09,0.0,-162.55634,5.550929400398749e-19,-152.55633544921875
99,5.2061694e-07,156.18507,-1.9395099e-09,0.0,1.9395099e-09,3.1415927,-174.24615,3.7616998014606466e-20,-164.24615478515625
100,4.343528e-07,130.30585,-2.1946391e-08,0.0,2.1946391e-08,3.1415927,-153.17274,4.816437374012009e-18,-143.17274475097656
101,8.9461025e-07,268.3831,-5.717823e-08,0.0,5.717823e-08,3.1415927,-144.85538,3.269350638288057e-17,-134.85537719726562
102,6.0848043e-07,182.54413,1.0677126e-08,0.0,1.0677126e-08,0.0,-159.43091,1.140012358607187e-18,-149.430908203125
103,4.276916e-07,128.30748,3.071611e-08,0.0,3.071611e-08,0.0,-150.25267,9.43481462215432e-18,-140.25267028808594
104,5.4373834e-07,163.1215,1.0059417e-08,0.0,1.0059417e-08,0.0,-159.94855,1.0119196150430175e-18,-149.94854736328125
105,5.449603e-07,163.48808,-6.562485e-10,0.0,6.562485e-10,3.1415927,-183.65863,4.306616500648604e-21,-173.65863037109375
106,1.1302695e-06,339.08087,2.704917e-09,0.0,2.704917e-09,0.0,-171.35693,7.316567614396383e-20,-161.35693359375
107,5.416643e-07,162.49928,-4.175392e-10,0.0,4.175392e-10,3.1415927,-187.58606,1.743387952170817e-21,-177.5860595703125
108,5.1114773e-07,153.34431,1.5921467e-09,0.0,1.5921467e-09,0.0,-175.96033,2.5349353768471006e-20,-165.9603271484375
109,5.543421e-07,166.30263,3.994565e-08,0.0,3.994565e-08,0.0,-147.97061,1.5956515848217367e-17,-137.97061157226562
